x1,x01,x11,x21,x31
Total,0.78,0.015,0.055,0.15
x02,0.231,0.666,0.455,0.4
x12,0.365,0,0.091,0.2
x22,0.026,0,0,0.033
x32,0.173,0,0.182,0.167
x42,0.205,0.333,0.273,0.2
x04,0.737,1,0.727,0.567
x14,0.077,0,0.273,0.2
x24,0.013,0,0,0
x34,0.173,0,0,0.233
x06,0.019,0,0,0
x16,0.282,0.666,0.545,0.4
x26,0.128,0.333,0.091,0.2
x36,0.352,0,0.182,0.2
x46,0.218,0,0.182,0.2
