x5,x05,x15,x25,x35
Total,0.37,0.11,0.1,0.41
x02,0.3,0.18,0.28,0.09
x12,0.29,0.31,0.38,0.7
x22,0.0004,0.09,0,0.7
x32,0.17,0.22,0.19,0.7
x42,0.18,0.18,0.14,0.11
x03,0.17,0.13,0.38,0.14
x13,0.69,0.68,0.57,0.64
x23,0.13,0.18,0.04,0.2
