x2,x02,x12,x22,x32,x42
Total,0.275,0.32,0.025,0.17,0.21
x03,0.127,0.266,0.2,0.176,0.119
x13,0.745,0.656,0.8,0.706,0.5
x23,0.127,0.078,0,0.118,0.381
x05,0.418,0.334,0.6,0.382,0.334
x15,0.073,0.109,0.4,0.147,0.095
x25,0.109,0.125,0,0.118,0.071
x35,0.4,0.422,0,0.353,0.5
